product_name,description,category,subcategory
TRENDIEZ 15.6 inch Laptop Backpack,"Key Features of TRENDIEZ 15.6 inch Laptop Backpack laptop bag freebies scheme,TRENDIEZ 15.6 inch Laptop Backpack (black) Price: Rs. 740 Trendiez Laptop Bag having 2 zip closure one pocket one front and one side pocket,Specifications of TRENDIEZ 15.6 inch Laptop Backpack (black) General Brand TRENDIEZ Type Laptop Backpack Model Name Tz-bagywithdc Material Canvas, Polyester Compatible Laptop Size 15.6 inch Style Code Tz-bagywithdc01 Closure Type zip Color Code black Color Black Dimensions Weight 600 g In the Box 1Laptog bag Body Features Waterproof Yes Rain Cover No Shoulder Strap adjustable Number of Compartments 2","[""Computers ",Laptop Backpack
Samsung CLP K300A Black Toner Cartridge,Buy Samsung CLP K300A Black Toner Cartridge only for Rs. 3999.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Cartridge
WPM Q5942A Black Toner,"WPM Q5942A Black Toner (Black)
                         Price: Rs. 3,000
				
			WPM-Q5942A Toner Cartridges Are Designed With The Printer To Provide The Reliable, Professional Results That Save Your Time. Smart Printing Technology To Deliver Sharp, Professional Results Each Time. Each Cartridge Is Tested For Print Quality Before Dispatch.
WPM-Q5942A Toner Cartridges Are Designed With The Printer To Provide The Reliable, Professional Results That Save Your Time. Smart Printing Technology To Deliver Sharp, Professional Results Each Time. Each Cartridge Is Tested For Print Quality Before Dispatch.","[""Computers ",Cartridge
Filink 310 Black Toner,"Filink 310 Black Toner (Black)
                         Price: Rs. 1,390
				
			Compatible with the following printers: Canon LBP 3460. We guarantee consistent & high quality printing, high page yields, dark prints. The toner is brand new and ISO 9001 quality certified.
Compatible with the following printers: Canon LBP 3460. We guarantee consistent & high quality printing, high page yields, dark prints. The toner is brand new and ISO 9001 quality certified.","[""Computers ",Cartridge
FRENEMY MPAD389 Mousepad,"Key Features of FRENEMY MPAD389 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD389 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD389 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD389 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card","[""Computers ",Mousepad
FRENEMY MPAD288 Mousepad,"Key Features of FRENEMY MPAD288 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD288 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD288 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD288 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card","[""Computers ",Mousepad
FRENEMY MPAD348 Mousepad,"Key Features of FRENEMY MPAD348 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD348 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD348 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD348 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card","[""Computers ",Mousepad
FRENEMY MPAD206 Mousepad,"Key Features of FRENEMY MPAD206 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD206 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD206 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD206 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card","[""Computers ",Mousepad
FRENEMY MPAD271 Mousepad,"Key Features of FRENEMY MPAD271 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD271 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD271 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD271 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card","[""Computers ",Mousepad
Saco wrist rest support Mousepad,"Key Features of Saco wrist rest support Mousepad Provides excellent tracking surface for your mouse,Saco wrist rest support Mousepad (Black) Price: Rs. 220 Product Description The Saco Compressed Pu Non Gel Mouse Pad lets you input data more comfortably and provides a smooth tracking surface for your mouse. Our specially designed ergo support pad is perfect when you're typing for long periods or surfing the Internet. The yet to be patented Compressed Pu Non Gel Mouse Pad conforms to your hands curves and helps reduce wrist stress that could lead to repetitive motion disorders. The Saco compressed Pu Non Gel Mouse Pad gives your wrists plenty of ergonomic support through a wave design that permits natural hand and wrist movements. The cushion creates contours that fit to the curves of your wrists and provides support as well. The surface lets your mouse slide smoothly and precisely along the pad, and the lightweight, durable design stands up to years of use. Bottom Surface The bottom is made of natural processed rubber, this provides flexibility to adapt to different desktop surfaces. This natural rubber base also ensures a firm and steady grip of your desk for hardcore gaming sessions. Edges The edges are expertly reinforced by a dense stitching process that not only looks great but also prevents damage and deformation.,Specifications of Saco wrist rest support Mousepad (Black) General Specifications Brand Saco Material Non-slip Rubber Base, PVC Platform PC Model Id wrist rest support Features Reduces wrist stress which can lead to repetitive motion disorders Color Black In the Box Mousepad","[""Computers ",Mousepad
Shopizone BMW Wheel 32 GB  Pen Drive,"Key Features of Shopizone BMW Wheel 32 GB  Pen Drive Case Material: Rubber Interface: USB 2.0 Operating System: Windows XP, Vista,Shopizone BMW Wheel 32 GB  Pen Drive (Black) Price: Rs. 999 This is a 32 GB pen drive. Cool and flaunty. These are basically pen drive who are disguised as superheroes. Adorable and cute. This works with all the operating systems and is handy and strong. Add bling and style to your pen drive with shopizone’s funky & innovative collection of 32GB flash drives for all age groups!,Specifications of Shopizone BMW Wheel 32 GB  Pen Drive (Black) General Specifications Interface USB 2.0 Brand Shopizone Capacity (GB) 32 GB Model BMW Wheel Case Material Rubber OS Supported Windows XP, Vista USB on the go No Color Black Dimensions Weight 100 g In the Box 1 Pendrive","[""Computers ",Pendrive
Japdan USB Orange Anti-dust Plug,Specifications of Japdan USB Orange Anti-dust Plug (Laptop Pack of 9) General Brand Color Orange Brand Japdan Model Number JP-04 Type USB Material Nylon Gemstone Present No Compatible Device Laptop Design Designer Color Orange Dimensions Port Size 3.5 mm In the Box Pack of 9,"[""Computers ",Cleaner
I Ball IBCTDC 160/2gb/DDR2 with Dual Core 2 RAM 160 Hard Disk,"Specifications of I Ball IBCTDC 160/2gb/DDR2 with Dual Core 2 RAM 160 Hard Disk (Free DOS) Performance Features Processor Speed 2.33 GHz Processor Name Intel Processor Type Dual Core Number of Cores 2 General Brand I Ball Operating System Free DOS Graphics Memory NA GB Model Name IBCTDC 160/2gb/DDR2 Graphics Intel onboard System Memory and Storage Features Memory Technology DDR2 RAM 2 GB Hard Disk Capacity 160 GB Warranty Covered in Warranty All Parts of the Product Service Type 1 Year Domestic Warranty Warranty Summary 1 Year Domestic warranty covered for all parts of the product Not Covered in Warranty Burning or Physically Damaged Dimensions Weight 5 kg Height 50 cm Width 40 cm Depth 30 cm In the Box Sales Package CPU, Driver CD, Power Cable","[""Computers ",Hard Disk
Intel 3.2 GHz LGA 1150 i5-4460 (BX80646I54460) Processor,Buy Intel 3.2 GHz LGA 1150 i5-4460 (BX80646I54460) Processor only for Rs. 15499 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Processor
Intel 1.8 GHz LGA 1155 Celeron G460 Processor,Buy Intel 1.8 GHz LGA 1155 Celeron G460 Processor only for Rs. 9790.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Processor
Intel 3.1 GHz LGA 1150 E3-1220 v3 Processor,Buy Intel 3.1 GHz LGA 1150 E3-1220 v3 Processor only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Processor
Leoxsys LEO-150N-3G-AD,Buy Leoxsys LEO-150N-3G-AD only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Netgear R6220 AC1200 Dual Band Gigabit Wi-Fi Router,Buy Netgear R6220 AC1200 Dual Band Gigabit Wi-Fi Router only for Rs. 5199 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Merlin WiFi N Repeater,Buy Merlin WiFi N Repeater only for Rs. 2195 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda 3G150B,Buy Tenda 3G150B only for Rs. 3000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Linksys Smart Wi-Fi Router,Buy Linksys Smart Wi-Fi Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Intex W150D,Buy Intex W150D only for Rs. 1149 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Asus RT-N13U B1 Wireless N with All-in-One Printer Server Router,Buy Asus RT-N13U B1 Wireless N with All-in-One Printer Server Router only for Rs. 5860 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda 3G611R+,Buy Tenda 3G611R+ only for Rs. 2500 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Ubiquiti UAP-AC,Buy Ubiquiti UAP-AC only for Rs. 31000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Asus RT-N14UHP High Power Wireless-N300 3-in-1 Router/ AP/ Range Extender,Buy Asus RT-N14UHP High Power Wireless-N300 3-in-1 Router/ AP/ Range Extender only for Rs. 12000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TP-LINK TL-MR3420 3G/4G Wireless N Router,Buy TP-LINK TL-MR3420 3G/4G Wireless N Router only for Rs. 3699 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Belkin Play Max Modem Router,Buy Belkin Play Max Modem Router only for Rs. 12499 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TP-LINK D9 AC1900,"TP-LINK D9 AC1900 (White)
                         Price: Rs. 13,999
				
			AC1900 Wireless Dual Band Gigabit ADSL2+ Modem Router, Broadcom, 802.11ac/a/n/g/b, 1300Mbps at 5GHz + 600Mbps at 2.4GHz, 4 GE Ports, 1 USB 2.0 Port, 1 USB 3.0 Port, 3 detachable antennas, Annex A, with ADSL splitter
AC1900 Wireless Dual Band Gigabit ADSL2+ Modem Router, Broadcom, 802.11ac/a/n/g/b, 1300Mbps at 5GHz + 600Mbps at 2.4GHz, 4 GE Ports, 1 USB 2.0 Port, 1 USB 3.0 Port, 3 detachable antennas, Annex A, with ADSL splitter","[""Computers ",Router
Asus Wireless AC2400 Dual-band Gigabit Router,Buy Asus Wireless AC2400 Dual-band Gigabit Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Netgear WNDR3700 N600 Dual Band Wireless Gigabit Router,Buy Netgear WNDR3700 N600 Dual Band Wireless Gigabit Router only for Rs. 10915 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Apple MD199HN/A,Buy Apple MD199HN/A only for Rs. 5900 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda TE-F452,Buy Tenda TE-F452 only for Rs. 4509 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda TE-4G302,Buy Tenda TE-4G302 only for Rs. 2585 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Huawei WS331c -300 Mbps Wireless Range Extender,Buy Huawei WS331c -300 Mbps Wireless Range Extender only for Rs. 2250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TRENDnet TEW-752DRU,Buy TRENDnet TEW-752DRU only for Rs. 5199 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Zoook 385G21W,Buy Zoook 385G21W only for Rs. 2725 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Netgear WN2500RP Universal Dual Band Wi-Fi Range Extender,Buy Netgear WN2500RP Universal Dual Band Wi-Fi Range Extender only for Rs. 8424 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda W308R,Buy Tenda W308R only for Rs. 3000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Edimax BR-6428NC,Buy Edimax BR-6428NC only for Rs. 2150 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Zyxel PLA4231 500 Mbps Powerline Wireless N Extender (Single Pack),Buy Zyxel PLA4231 500 Mbps Powerline Wireless N Extender (Single Pack) only for Rs. 5249 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
iBall iB-WRH150N 150 Mbps Wireless N Home Router,Buy iBall iB-WRH150N 150 Mbps Wireless N Home Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Asus DSL-AC68U Dual Band Wireless AC1900 VDSL / ADSL Modem Router,Buy Asus DSL-AC68U Dual Band Wireless AC1900 VDSL / ADSL Modem Router only for Rs. 25000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
iBall Wireless N Router,Buy iBall Wireless N Router only for Rs. 1449 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
D-Link DIR - 816L,Buy D-Link DIR - 816L only for Rs. 4200 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Asus RT-AC68U Dual-band Wireless-AC1900 Gigabit Router,Buy Asus RT-AC68U Dual-band Wireless-AC1900 Gigabit Router only for Rs. 22000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
"Tenda F3 300mbps Wireless Router, With 3 Fixed Antenna, 3lan, 1wan Port","Buy Tenda F3 300mbps Wireless Router, With 3 Fixed Antenna, 3lan, 1wan Port only for Rs. 1899 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","[""Computers ",Router
Zyxel NWA1100N 802.11 b/g/n PoE Access Point,Buy Zyxel NWA1100N 802.11 b/g/n PoE Access Point only for Rs. 5250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TP-LINK TL-WR941ND 300Mbps Wireless N Router,Buy TP-LINK TL-WR941ND 300Mbps Wireless N Router only for Rs. 3599 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Asus RT-N12 LX 300Mbps Wireless Router,Buy Asus RT-N12 LX 300Mbps Wireless Router only for Rs. 4200 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TRENDnet N150 Wireless ADSL 2 Modem Router,Buy TRENDnet N150 Wireless ADSL 2 Modem Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Binatone WR3000N,Buy Binatone WR3000N only for Rs. 1800 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda A5,Buy Tenda A5 only for Rs. 2250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Tenda 10/100/1000 Mbps Support IEEE802.3at Gigabit PoE Injector TE-POE30G-AT,Buy Tenda 10/100/1000 Mbps Support IEEE802.3at Gigabit PoE Injector TE-POE30G-AT only for Rs. 1449 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
D-Link DIR-816 Wireless AC750 Dual Band Router,Buy D-Link DIR-816 Wireless AC750 Dual Band Router only for Rs. 3999 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Netis WF2412,Buy Netis WF2412 only for Rs. 6000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
D-Link DIR-810L,Buy D-Link DIR-810L only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
iBall iB-W4GX150N 4G Wireless N Router,Buy iBall iB-W4GX150N 4G Wireless N Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TP-Link TD-W8960N,Buy TP-Link TD-W8960N only for Rs. 1720 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Netgear JNR3210 N300 Wireless Gigabit Router,Buy Netgear JNR3210 N300 Wireless Gigabit Router only for Rs. 4692 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
TP-Link tdw8968,Buy TP-Link tdw8968 only for Rs. 2250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
D-Link DWR-111-3G Router with WAN Auto Failure,Buy D-Link DWR-111-3G Router with WAN Auto Failure only for Rs. 2310 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
Edimax AR-7286WNA,Buy Edimax AR-7286WNA only for Rs. 2445 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",Router
